1	13
2	29
2	34
2	37
2	40
2	44
2	46
2	48
2	49
2	53
2	54
2	56
2	57
2	58
2	59
2	60
2	61
2	65
3	10
3	11
3	24
6	10
6	18
6	24
8	19
8	24
8	27
8	45
9	11
9	18
9	49
9	50
9	52
10	24
10	46
10	49
10	52
11	49
11	52
13	49
15	44
15	60
17	58
18	34
18	40
18	47
18	52
19	36
20	38
21	47
22	47
23	61
24	26
24	36
24	38
24	41
24	49
25	27
25	42
25	44
25	54
25	56
25	58
29	51
29	54
29	56
29	60
29	61
34	47
34	57
34	66
36	48
39	45
40	49
42	61
44	53
44	56
51	53
54	61
56	61
58	61
62	63
62	65
63	64
63	65
63	66
64	65
64	66
65	66
