1	14
1	17
1	28
1	38
1	49
2	3
2	55
3	12
3	22
3	36
3	37
3	40
3	41
4	19
4	27
5	41
5	49
5	50
5	57
5	58
5	60
5	80
6	7
7	27
8	24
8	33
8	37
8	41
8	47
8	69
9	10
10	16
10	27
10	44
10	58
11	24
11	36
12	24
12	33
12	37
12	41
13	33
14	17
14	48
14	49
14	59
14	61
15	27
16	37
16	69
17	21
17	38
17	59
17	63
18	50
19	35
19	58
19	68
20	41
20	48
20	71
21	27
21	48
21	58
21	68
21	71
22	47
23	32
23	56
24	29
24	33
24	40
24	41
24	47
24	55
24	65
24	69
25	33
25	37
25	47
26	73
27	30
27	38
27	45
27	48
27	58
27	59
27	60
27	61
27	63
27	70
27	72
28	46
28	59
29	47
30	48
30	49
30	58
30	59
30	62
31	50
32	33
32	37
32	41
33	41
33	65
33	69
35	41
35	45
36	41
38	41
38	42
38	46
38	48
38	58
38	59
38	60
38	67
38	71
41	54
41	55
41	58
41	59
41	68
41	81
44	45
45	68
46	49
46	59
47	55
48	58
48	60
48	70
49	50
49	57
49	61
50	67
54	68
57	58
58	60
58	63
58	70
59	63
60	70
73	77
73	80
74	77
77	78
77	79
77	80
77	81
77	82
78	81
79	81
80	81
