1	37
2	3
2	38
2	54
3	5
3	8
3	16
3	22
3	23
3	26
3	28
3	30
3	44
3	54
3	69
4	8
4	22
4	26
4	27
4	31
4	44
4	69
4	70
4	72
5	16
5	44
5	54
5	69
6	38
6	44
6	72
7	26
8	31
8	44
10	49
10	81
12	67
12	69
13	22
13	23
13	56
13	57
14	21
14	69
15	47
15	49
15	74
15	81
16	30
16	44
17	23
17	66
17	69
18	44
19	20
19	37
19	90
19	97
20	93
22	49
22	54
22	57
22	60
22	64
22	66
22	68
22	69
22	73
22	74
22	76
22	77
22	78
22	79
22	80
22	81
22	96
22	98
23	30
23	31
23	44
24	85
26	30
26	38
26	44
28	39
28	44
28	47
28	65
29	31
29	38
29	69
29	70
29	72
30	44
30	66
30	69
30	72
31	69
31	72
33	69
35	64
35	80
37	78
38	54
38	60
38	67
38	72
39	56
40	58
41	67
42	67
43	81
44	46
44	56
44	58
44	61
44	69
45	47
45	62
45	64
45	74
45	76
45	78
49	71
49	74
49	76
49	80
49	81
54	67
54	77
54	97
56	68
59	65
60	69
62	81
64	73
64	76
71	73
74	81
76	81
78	81
85	91
85	93
85	97
86	91
86	93
89	90
89	98
90	92
90	93
90	94
90	95
90	97
91	94
91	97
93	94
93	95
93	97
93	98
94	98
95	96
95	98
96	97
96	98
97	98
